Trt,Hood,Chilopoda ,Coleoptera,Collembola,Diplopoda,Diptera,Hemiptera,Hymenoptera,Isopoda,Lepidoptera,Mites,Neuroptera,Opiliones,Orthoptera,Thysanoptera,Trichoptera,
Vacant,buckeye,1,32,1172,0,231,177,273,1003,0,633,0,5,5,1,0,3533
Vacant,central,0,38,481,1,155,513,245,718,0,256,3,8,10,9,1,2438
Vacant,clark,6,64,163,0,161,393,371,192,0,1086,3,16,12,19,0,2486
Vacant,detroit,3,60,2135,3,113,129,354,107,1,1593,0,1,23,4,0,4526
Vacant,fairfax,1,57,736,1,152,260,355,2287,0,352,0,32,20,6,2,4261
Vacant,glenville,1,43,573,10,172,241,254,1925,1,937,0,11,2,25,0,4195
Vacant,hough,1,131,990,0,204,345,476,1405,0,153,0,44,19,32,0,3800
Vacant,slavic,0,55,1429,2,162,229,276,427,0,1520,0,0,3,20,0,4123
Prairies,buckeye,1,33,429,0,122,125,253,1055,2,206,0,4,3,4,0,2237
Prairies,central,2,58,766,2,178,144,400,1650,0,353,0,11,5,1,2,3572
Prairies,clark,6,174,665,7,227,165,445,1483,1,360,0,31,158,7,0,3729
Prairies,detroit,0,59,3592,24,232,198,405,994,0,731,0,8,12,8,0,6263
Prairies,fairfax,1,77,880,0,185,149,347,739,1,265,1,14,12,6,0,2677
Prairies,glenville,0,59,674,4,135,110,316,2353,1,201,0,1,1,32,0,3887
Prairies,slavic,0,64,1177,0,272,249,643,333,0,572,1,5,4,12,1,3333
